team1_name,team2_name,game_time,best_ratio_team1,best_ratio_team1_betting_site,best_ratio_draw,best_ratio_draw_betting_site,best_ratio_team2,best_ratio_team2_betting_site
C.Municipal D'oissel,Fleury Merogis,Starting in 54′,1.64,betfair,3.5,betfair,4.5,betfair
AS Monaco FC II,Louhans Cuiseaux,Starting in 54′,2.2,betfair,3.5,betfair,2.75,betfair
Hyeres,Marignane-Gignac,Starting in 54′,2.5,betfair,3.0,betfair,2.5,betfair
Blois Football 41,Bordeaux Stade,Starting in 54′,1.75,betfair,3.25,betfair,4.0,betfair
AS Poissy,AS Vitre,Starting in 54′,1.8,betfair,3.25,betfair,4.0,betfair
Haguenau,Jeanne dArc Drancy,Starting in 54′,3.0,betfair,3.0,betfair,2.2,betfair
BIIK Kazygurt (W),FC Flora Tallinn (W),Starting in 54′,1.02,betfair,16.0,betfair,20.0,betfair
CFF Clujana (W),ZFK Breznica Pljevlja (W),Starting in 54′,1.08,betfair,10.0,betfair,14.0,betfair
Norild,Halsen IF,Starting in 54′,3.5,betfair,4.5,betfair,1.7,betfair
Leknes,Honefoss,Starting in 54′,10.0,betfair,8.0,betfair,1.14,betfair
AD Cantolao,Binacional,Starting in 54′,2.3,betfair,3.3,betfair,2.62,betfair
Notts Co,Barnet,17:20,2.3,betfair,3.0,betfair,3.0,betfair
Tottenham,Aston Villa,17:30,1.32,betfair,5.0,betfair,9.5,betfair
FC GRONINGEN,FC Twente,17:30,2.0,betfair,3.25,betfair,3.5,betfair
KSV Baunatal,Bochum,17:30,25.0,betfair,14.0,betfair,1.02,betfair
SSV Ulm,FC Heidenheim,17:30,8.0,betfair,4.5,betfair,1.32,betfair
Wurzburger Kickers,Hoffenheim,17:30,9.0,betfair,6.0,betfair,1.22,betfair
Brescia,Valladolid,17:30,2.3,betfair,3.25,betfair,2.75,betfair
Nea Salamis,Doxa,17:30,1.64,betfair,4.0,betfair,4.5,betfair
Ascoli,Pro Vercelli,17:30,1.32,betfair,4.5,betfair,8.0,betfair
Cobresal,Deportes Iquique,17:30,1.75,betfair,3.5,betfair,4.0,betfair
Vorskla,FC Lviv,17:30,2.0,betfair,3.0,betfair,3.5,betfair
Oleksandria,Olimpik Donetsk,17:30,1.56,betfair,3.5,betfair,6.0,betfair
PAOK (W),Linfield (W),17:30,1.32,betfair,7.0,betfair,5.0,betfair
Crumlin United,Malahide United,18:00,1.28,betfair,5.0,betfair,8.0,betfair
Besiktas,Panathinaikos,18:00,1.7,betfair,3.5,betfair,4.5,betfair
Alcorcon,Fuenlabrada,18:00,2.4,betfair,3.25,betfair,2.75,betfair
Amorebieta,Leioa,18:00,2.5,betfair,3.25,betfair,2.5,betfair
Tudelano,Zaragoza,18:00,5.0,betfair,4.0,betfair,1.5,betfair
Kasimpasa,Olympique Khouribga,18:00,2.0,betfair,3.5,betfair,3.0,betfair
